,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,1,0,0,0,0,0,0,6,3,40,47.0,0.0,0.0,4.7,1,0.00,0.00,0.00,1.16,11,False
Granit Xhaka,3,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Mohamed Elneny,4,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rob Holding,5,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Thomas Partey,6,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Martin Ødegaard,7,Arsenal,MID,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Kieran Tierney,8,Arsenal,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Eddie Nketiah,11,Arsenal,FWD,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Emile Smith Rowe,12,Arsenal,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bukayo Saka,13,Arsenal,MID,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Takehiro Tomiyasu,14,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Aaron Ramsdale,15,Arsenal,GK,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Gabriel dos Santos Magalhães,16,Arsenal,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Nuno Varela Tavares,17,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Albert Sambi Lokonga,18,Crystal Palace,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Gabriel Martinelli Silva,19,Arsenal,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Pablo Marí Villar,20,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ainsley Maitland-Niles,21,Southampton,MID,50,87,0,0,1,0,0,0,0,1,0,0,0,8,6.2,2.8,0.0,0.9,1,0.00,0.03,0.03,0.98,2,False
Lucas Torreira di Pascua,22,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Reiss Nelson,23,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Matt Turner,24,Arsenal,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Fábio Ferreira Vieira,25,Arsenal,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
William Saliba,26,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Marcus Oliveira Alencar,27,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Gabriel Fernando de Jesus,28,Arsenal,FWD,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Philippe Coutinho Correia,29,Aston Villa,MID,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Danny Ings,30,West Ham,FWD,70,68,0,0,0,2,0,0,0,0,0,0,0,5,11.4,11.1,89.0,11.2,1,0.51,0.02,0.53,2.17,2,False
Emiliano Martínez Romero,31,Aston Villa,GK,50,90,0,0,0,3,0,0,0,0,0,5,0,20,32.2,0.0,0.0,3.2,1,0.00,0.00,0.00,2.17,2,False
Calum Chambers,32,Aston Villa,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Lucas Digne,33,Aston Villa,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bertrand Traoré,34,Aston Villa,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
