,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,0,2,0,0,0,0,0,3,0,15,25.8,0.0,0.0,2.6,1,0.00,0.00,0.00,1.80,2,False
Granit Xhaka,3,Arsenal,MID,50,87,0,1,1,0,0,0,0,0,0,0,0,25,25.8,34.0,6.0,6.6,1,0.00,0.11,0.11,0.26,6,False
Mohamed Elneny,4,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rob Holding,5,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Thomas Partey,6,Arsenal,MID,50,90,0,0,1,0,0,0,0,0,0,0,0,13,13.2,3.8,0.0,1.7,1,0.00,0.02,0.02,0.28,3,False
Martin Ødegaard,7,Arsenal,MID,65,73,2,0,1,0,0,0,0,0,0,0,3,47,67.8,10.0,42.0,12.0,1,0.64,0.05,0.69,0.12,16,True
Kieran Tierney,8,Arsenal,DEF,50,2,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,0,0.00,0.00,0.00,0.02,1,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,74,0,0,1,0,0,0,0,0,0,0,1,29,11.0,4.3,2.0,1.7,1,0.00,0.09,0.09,0.12,7,False
Eddie Nketiah,11,Arsenal,FWD,70,16,0,0,0,0,0,0,0,0,0,0,0,-1,5.4,10.9,17.0,3.3,0,0.08,0.01,0.09,0.17,1,False
Emile Smith Rowe,12,Arsenal,MID,60,16,0,0,0,0,0,0,0,0,0,0,0,6,7.4,10.7,17.0,3.5,0,0.04,0.03,0.07,0.17,1,False
Bukayo Saka,13,Arsenal,MID,80,87,0,0,1,0,0,0,0,0,0,0,0,12,12.0,29.9,8.0,5.0,1,0.02,0.13,0.15,0.26,3,False
Takehiro Tomiyasu,14,Arsenal,DEF,45,15,0,0,0,0,0,0,0,0,0,0,0,5,3.8,0.4,0.0,0.4,0,0.00,0.00,0.00,0.17,1,False
Aaron Ramsdale,15,Arsenal,GK,50,90,0,0,1,0,0,0,0,0,0,1,0,20,7.6,0.0,0.0,0.8,1,0.00,0.00,0.00,0.28,6,False
Gabriel dos Santos Magalhães,16,Arsenal,DEF,50,90,0,0,1,0,0,0,0,0,0,0,1,29,19.8,1.5,4.0,2.5,1,0.10,0.00,0.10,0.28,7,False
Nuno Varela Tavares,17,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Albert Sambi Lokonga,18,Crystal Palace,MID,45,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,0,0.00,0.00,0.00,0.02,1,False
Gabriel Martinelli Silva,19,Arsenal,MID,60,74,0,1,1,0,0,0,0,0,0,0,0,11,2.0,6.3,30.0,3.8,1,0.36,0.03,0.39,0.12,6,False
Pablo Marí Villar,20,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ainsley Maitland-Niles,21,Southampton,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Lucas Torreira di Pascua,22,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Reiss Nelson,23,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Matt Turner,24,Arsenal,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Fábio Ferreira Vieira,25,Arsenal,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
William Saliba,26,Arsenal,DEF,45,90,1,0,1,0,0,0,0,0,0,0,2,39,50.4,0.8,17.0,6.8,1,0.10,0.00,0.10,0.28,14,True
Marcus Oliveira Alencar,27,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Gabriel Fernando de Jesus,28,Arsenal,FWD,80,90,0,1,1,0,0,0,0,1,0,0,0,15,25.6,23.1,54.0,10.3,1,0.06,0.03,0.09,0.28,4,False
Philippe Coutinho Correia,29,Aston Villa,MID,70,17,0,0,0,0,0,0,0,0,0,0,0,3,6.6,0.9,38.0,4.6,0,0.12,0.00,0.12,0.32,1,False
Danny Ings,30,West Ham,FWD,70,24,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.0,17.0,1.8,0,0.06,0.00,0.06,0.72,1,False
Emiliano Martínez Romero,31,Aston Villa,GK,50,90,0,0,0,3,0,1,0,0,0,6,2,36,71.8,0.0,0.0,7.2,1,0.00,0.00,0.00,2.69,10,True
Calum Chambers,32,Aston Villa,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Lucas Digne,33,Aston Villa,DEF,50,90,0,0,0,3,0,0,0,0,0,0,0,16,17.8,34.3,18.0,7.0,1,0.09,0.17,0.26,2.69,1,False
