,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,0,2,0,0,0,0,0,3,0,15,23.4,0.0,0.0,2.3,1,0.00,0.00,0.00,1.71,2,False
Granit Xhaka,3,Arsenal,MID,50,90,1,0,0,1,0,0,0,0,0,0,3,34,49.0,41.6,34.0,12.5,1,0.29,0.06,0.35,0.67,10,False
Mohamed Elneny,4,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rob Holding,5,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Thomas Partey,6,Arsenal,MID,50,90,0,0,0,1,0,0,0,0,0,0,0,14,14.4,14.5,2.0,3.1,1,0.00,0.07,0.07,0.67,2,False
Martin Ødegaard,7,Arsenal,MID,65,82,0,0,0,1,0,0,0,0,0,0,0,20,9.4,43.8,11.0,6.4,1,0.09,0.27,0.36,0.67,2,False
Kieran Tierney,8,Arsenal,DEF,50,18,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.7,2.0,0.5,0,0.00,0.00,0.00,0.00,1,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,71,0,1,0,1,0,0,0,0,0,0,1,29,37.0,29.9,4.0,7.1,1,0.00,0.09,0.09,0.67,6,False
Eddie Nketiah,11,Arsenal,FWD,70,19,0,0,0,0,0,0,0,0,0,0,0,-1,1.4,2.3,18.0,2.2,0,0.09,0.01,0.10,0.00,1,False
Emile Smith Rowe,12,Arsenal,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bukayo Saka,13,Arsenal,MID,80,90,0,0,0,1,0,0,0,1,0,0,0,2,3.0,3.0,11.0,1.7,1,0.07,0.04,0.11,0.67,1,False
Takehiro Tomiyasu,14,Arsenal,DEF,45,90,0,0,0,1,0,0,0,0,0,0,0,19,18.0,6.8,2.0,2.7,1,0.00,0.05,0.05,0.67,2,False
Aaron Ramsdale,15,Arsenal,GK,50,90,0,0,0,1,0,0,0,0,0,2,0,12,14.8,0.0,0.0,1.5,1,0.00,0.00,0.00,0.67,2,False
Gabriel dos Santos Magalhães,16,Arsenal,DEF,50,90,0,0,0,1,0,0,0,0,0,0,0,17,32.0,2.2,4.0,3.8,1,0.06,0.02,0.08,0.67,2,False
Nuno Varela Tavares,17,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Albert Sambi Lokonga,18,Crystal Palace,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Gabriel Martinelli Silva,19,Arsenal,MID,60,70,0,0,0,1,0,0,0,0,0,0,0,9,10.4,5.8,16.0,3.2,1,0.04,0.03,0.07,0.67,2,False
Pablo Marí Villar,20,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ainsley Maitland-Niles,21,Southampton,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Lucas Torreira di Pascua,22,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Reiss Nelson,23,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Matt Turner,24,Arsenal,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Fábio Ferreira Vieira,25,Arsenal,MID,60,7,0,0,0,0,0,0,0,0,0,0,0,1,2.4,0.5,0.0,0.3,0,0.00,0.00,0.00,0.00,1,False
William Saliba,26,Arsenal,DEF,45,90,0,0,0,1,0,0,0,0,0,0,0,17,21.0,1.0,0.0,2.2,1,0.00,0.01,0.01,0.67,2,False
Marcus Oliveira Alencar,27,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Gabriel Fernando de Jesus,28,Arsenal,FWD,80,90,0,0,0,1,0,0,0,0,0,0,0,-7,12.0,4.4,53.0,6.9,1,0.34,0.09,0.43,0.67,2,False
Philippe Coutinho Correia,29,Aston Villa,MID,70,19,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.1,0.0,0.1,0,0.00,0.00,0.00,0.13,1,False
Danny Ings,30,West Ham,FWD,70,90,2,0,1,0,0,0,0,1,0,0,3,55,77.2,32.2,40.0,14.9,1,1.22,0.13,1.35,0.95,12,True
Emiliano Martínez Romero,31,Aston Villa,GK,50,90,0,0,1,0,0,0,0,0,0,3,0,28,29.0,10.0,0.0,3.9,1,0.00,0.00,0.00,0.95,7,False
Calum Chambers,32,Aston Villa,DEF,45,9,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,1,False
Lucas Digne,33,Aston Villa,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bertrand Traoré,34,Aston Villa,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Robin Olsen,35,Aston Villa,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Morgan Sanson,36,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
John McGinn,37,Aston Villa,MID,55,27,0,0,0,0,0,0,0,0,0,0,0,7,6.6,0.0,0.0,0.7,0,0.00,0.00,0.00,0.13,1,False
Kortney Hause,38,Aston Villa,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Tyrone Mings,39,Aston Villa,DEF,45,90,0,1,1,0,0,0,0,0,0,0,1,31,12.2,0.3,4.0,1.7,1,0.00,0.00,0.00,0.95,10,True
Ollie Watkins,40,Aston Villa,FWD,75,80,1,0,1,0,0,0,0,0,0,0,0,17,44.8,16.0,103.0,16.4,1,1.03,0.07,1.10,0.95,6,False
Marvelous Nakamba,41,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Emiliano Buendía Stati,42,Aston Villa,MID,60,70,0,0,1,0,0,0,0,0,0,0,0,7,8.2,23.0,33.0,6.4,1,0.21,0.12,0.33,0.82,3,False
Matty Cash,43,Aston Villa,DEF,50,80,0,0,1,0,0,0,0,0,0,0,0,21,12.8,1.6,25.0,3.9,1,0.06,0.01,0.07,0.95,6,False
Ezri Konsa Ngoyo,44,Aston Villa,DEF,45,90,0,0,1,0,0,0,0,0,0,0,0,25,24.8,0.3,0.0,2.5,1,0.00,0.00,0.00,0.95,6,False
Leon Bailey,45,Aston Villa,MID,50,70,1,1,1,0,0,0,0,0,0,0,2,39,53.4,23.4,43.0,12.0,1,0.23,0.47,0.70,0.82,13,True
Douglas Luiz Soares de Paulo,46,Aston Villa,MID,50,90,0,1,1,0,0,0,0,0,0,0,0,22,31.4,33.1,8.0,7.3,1,0.06,0.08,0.14,0.95,6,False
Jacob Ramsey,47,Aston Villa,MID,55,19,0,0,0,0,0,0,0,0,0,0,0,4,2.4,0.3,2.0,0.5,0,0.00,0.00,0.00,0.13,1,False
