,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,0,1,0,0,0,0,0,2,0,13,19.0,10.0,0.0,2.9,1,0.00,0.00,0.00,1.42,2,False
Granit Xhaka,3,Arsenal,MID,50,90,0,0,0,1,0,0,0,0,0,0,0,14,12.6,25.0,8.0,4.6,1,0.00,0.04,0.04,0.45,2,False
Mohamed Elneny,4,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rob Holding,5,Arsenal,DEF,45,2,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0.0,0.0,0.2,0,0.00,0.00,0.00,0.00,1,False
Thomas Partey,6,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Martin Ødegaard,7,Arsenal,MID,65,80,0,0,0,1,0,0,0,1,0,0,0,12,13.0,37.8,47.0,9.8,1,0.46,0.22,0.68,0.45,1,False
Kieran Tierney,8,Arsenal,DEF,50,90,0,0,0,1,0,0,0,0,0,0,0,8,11.0,3.1,21.0,3.5,1,0.20,0.04,0.24,0.45,2,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,64,0,0,1,0,0,0,0,0,0,0,2,29,5.4,13.5,2.0,2.1,1,0.00,0.28,0.28,0.20,8,False
Eddie Nketiah,11,Arsenal,FWD,70,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.4,5.0,0.3,0,0.05,0.00,0.05,0.00,1,False
Emile Smith Rowe,12,Arsenal,MID,60,9,0,0,0,0,0,0,0,0,0,0,0,4,3.4,10.9,0.0,1.4,0,0.00,0.03,0.03,0.00,1,False
Bukayo Saka,13,Arsenal,MID,80,87,0,1,0,1,0,0,0,0,0,0,0,19,24.6,42.7,49.0,11.6,1,0.45,0.34,0.79,0.45,5,False
Takehiro Tomiyasu,14,Arsenal,DEF,45,26,0,0,0,1,0,0,0,0,0,0,0,9,8.4,10.8,4.0,2.3,0,0.00,0.02,0.02,0.25,1,False
Aaron Ramsdale,15,Arsenal,GK,50,90,0,0,0,1,0,0,0,0,0,2,0,13,17.4,0.0,0.0,1.7,1,0.00,0.00,0.00,0.45,2,False
Gabriel dos Santos Magalhães,16,Arsenal,DEF,50,90,0,0,0,1,0,0,0,0,0,0,0,16,17.4,1.3,69.0,8.8,1,0.31,0.01,0.32,0.45,2,False
Nuno Varela Tavares,17,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Albert Sambi Lokonga,18,Crystal Palace,MID,45,90,0,0,0,1,0,0,0,0,0,0,0,15,10.8,6.2,0.0,1.7,1,0.00,0.03,0.03,0.45,2,False
Gabriel Martinelli Silva,19,Arsenal,MID,60,90,1,0,0,1,0,0,0,0,0,0,3,34,44.0,30.7,69.0,14.4,1,0.20,0.40,0.60,0.45,10,True
Pablo Marí Villar,20,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ainsley Maitland-Niles,21,Southampton,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Lucas Torreira di Pascua,22,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Reiss Nelson,23,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Matt Turner,24,Arsenal,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Fábio Ferreira Vieira,25,Arsenal,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
William Saliba,26,Arsenal,DEF,45,90,0,0,0,1,0,0,0,1,0,0,0,9,12.8,10.8,0.0,2.4,1,0.00,0.03,0.03,0.45,1,False
Marcus Oliveira Alencar,27,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Gabriel Fernando de Jesus,28,Arsenal,FWD,80,87,1,0,0,1,0,0,0,0,0,0,0,19,37.8,12.3,92.0,14.2,1,0.90,0.09,0.99,0.45,6,False
Philippe Coutinho Correia,29,Aston Villa,MID,70,17,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.9,2.0,0.3,0,0.00,0.00,0.00,0.17,1,False
Danny Ings,30,West Ham,FWD,70,7,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,2.0,0.2,0,0.00,0.00,0.00,0.08,1,False
Emiliano Martínez Romero,31,Aston Villa,GK,50,90,0,0,0,2,0,0,0,0,0,6,0,18,34.4,0.0,0.0,3.4,1,0.00,0.00,0.00,2.56,3,False
Calum Chambers,32,Aston Villa,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Lucas Digne,33,Aston Villa,DEF,50,90,0,0,0,2,0,0,0,0,0,0,0,9,17.2,5.6,0.0,2.3,1,0.00,0.02,0.02,2.56,1,False
Bertrand Traoré,34,Aston Villa,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Robin Olsen,35,Aston Villa,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Morgan Sanson,36,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
John McGinn,37,Aston Villa,MID,55,72,0,0,0,1,0,0,0,1,0,0,0,3,0.6,0.8,0.0,0.1,1,0.00,0.01,0.01,2.39,1,False
Kortney Hause,38,Aston Villa,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Tyrone Mings,39,Aston Villa,DEF,45,90,0,0,0,2,0,0,0,0,0,0,0,17,35.8,0.2,0.0,3.6,1,0.00,0.00,0.00,2.56,1,False
Ollie Watkins,40,Aston Villa,FWD,75,90,0,0,0,2,0,0,0,0,0,0,0,6,7.4,2.4,0.0,1.0,1,0.00,0.01,0.01,2.56,2,False
Marvelous Nakamba,41,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Emiliano Buendía Stati,42,Aston Villa,MID,60,72,0,0,0,1,0,0,0,0,0,0,0,3,6.8,2.8,23.0,3.3,1,0.20,0.01,0.21,2.39,2,False
Matty Cash,43,Aston Villa,DEF,50,90,0,0,0,2,0,0,0,0,0,0,0,9,12.6,16.4,4.0,3.3,1,0.00,0.04,0.04,2.56,1,False
Ezri Konsa Ngoyo,44,Aston Villa,DEF,45,90,0,0,0,2,0,0,0,1,0,0,0,6,13.6,0.8,2.0,1.6,1,0.00,0.00,0.00,2.56,0,False
Leon Bailey,45,Aston Villa,MID,50,90,0,0,0,2,0,0,0,0,0,0,0,9,10.0,3.5,17.0,3.1,1,0.24,0.02,0.26,2.56,2,False
Douglas Luiz Soares de Paulo,46,Aston Villa,MID,50,17,1,0,0,1,0,0,0,0,0,0,1,21,33.6,0.2,7.0,4.1,0,0.02,0.00,0.02,0.17,7,False
Jacob Ramsey,47,Aston Villa,MID,55,90,0,0,0,2,0,0,0,1,0,0,0,10,20.0,23.6,0.0,4.4,1,0.00,0.11,0.11,2.56,1,False
Carney Chukwuemeka,48,Chelsea,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Tim Iroegbunam,49,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Diego Carlos Santos Silva,50,Aston Villa,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Anwar El Ghazi,51,Aston Villa,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Keinan Davis,52,Aston Villa,FWD,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Boubacar Kamara,53,Aston Villa,MID,50,82,0,0,0,2,0,0,0,0,0,0,0,8,18.6,1.3,0.0,2.0,1,0.00,0.01,0.01,2.48,2,False
Cameron Archer,54,Aston Villa,FWD,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Jaden Philogene-Bidace,55,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Frédéric Guilbert,56,Aston Villa,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Adam Smith,57,Bournemouth,DEF,45,90,0,0,1,0,0,0,0,0,0,0,0,21,12.0,1.0,2.0,1.5,1,0.00,0.09,0.09,1.51,6,False
Junior Stanislas,58,Bournemouth,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ryan Fredericks,59,Bournemouth,DEF,45,21,0,0,0,0,0,0,0,0,0,0,0,3,4.2,0.3,0.0,0.5,0,0.00,0.00,0.00,0.89,1,False
David Brooks,60,Bournemouth,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Jamal Lowe,61,Bournemouth,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Kieffer Moore,62,Bournemouth,FWD,55,13,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.3,0.0,0.1,0,0.00,0.00,0.00,0.81,1,False
Emiliano Marcondes,63,Bournemouth,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
