,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,0,1,0,0,0,0,0,4,0,19,32.6,0.0,0.0,3.3,1,0.00,0.00,0.00,2.13,3,False
Granit Xhaka,3,Arsenal,MID,50,90,0,0,1,0,0,0,0,0,0,0,0,19,23.4,19.1,3.0,4.6,1,0.09,0.15,0.24,1.54,3,False
Mohamed Elneny,4,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rob Holding,5,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Thomas Partey,6,Arsenal,MID,50,90,0,0,1,0,0,0,0,0,0,0,0,12,23.2,16.1,6.0,4.5,1,0.12,0.05,0.17,1.54,3,False
Martin Ødegaard,7,Arsenal,MID,65,90,1,0,1,0,0,0,0,0,0,0,1,27,43.8,31.3,18.0,9.3,1,0.14,0.14,0.28,1.54,9,False
Kieran Tierney,8,Arsenal,DEF,50,11,0,0,0,0,0,0,0,0,0,0,0,4,2.0,3.0,0.0,0.5,0,0.00,0.00,0.00,0.35,1,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,90,0,0,1,0,0,0,0,0,0,0,2,29,23.4,9.5,0.0,3.3,1,0.00,0.05,0.05,1.54,8,False
Eddie Nketiah,11,Arsenal,FWD,70,90,0,0,1,0,0,0,0,0,0,0,0,-5,11.6,2.3,72.0,8.6,1,1.22,0.11,1.33,1.54,2,False
Emile Smith Rowe,12,Arsenal,MID,60,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,1,False
Bukayo Saka,13,Arsenal,MID,80,90,0,1,1,0,0,0,0,0,0,0,0,17,19.4,29.5,12.0,6.1,1,0.03,0.19,0.22,1.54,6,False
Takehiro Tomiyasu,14,Arsenal,DEF,45,4,0,0,0,0,0,0,0,0,0,0,0,5,2.0,0.1,0.0,0.2,0,0.00,0.00,0.00,0.07,1,False
Aaron Ramsdale,15,Arsenal,GK,50,90,0,0,1,0,0,0,0,0,0,7,3,36,54.2,0.0,0.0,5.4,1,0.00,0.00,0.00,1.54,11,True
Gabriel dos Santos Magalhães,16,Arsenal,DEF,50,90,0,0,1,0,0,0,0,1,0,0,0,19,16.4,0.9,2.0,1.9,1,0.00,0.01,0.01,1.54,5,False
Nuno Varela Tavares,17,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Albert Sambi Lokonga,18,Crystal Palace,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Gabriel Martinelli Silva,19,Arsenal,MID,60,78,0,0,1,0,0,0,0,1,0,0,0,9,11.6,43.8,19.0,7.4,1,0.06,0.66,0.72,1.19,2,False
Pablo Marí Villar,20,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ainsley Maitland-Niles,21,Southampton,MID,50,5,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,0,0.00,0.00,0.00,0.12,1,False
Lucas Torreira di Pascua,22,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
