,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,0,1,0,0,0,0,0,2,0,20,19.2,0.0,0.0,1.9,1,0.00,0.00,0.00,0.79,2,False
Granit Xhaka,3,Arsenal,MID,50,90,0,0,0,2,0,0,0,0,0,0,0,11,14.8,12.5,0.0,2.7,1,0.00,0.09,0.09,1.15,2,False
Mohamed Elneny,4,Arsenal,MID,45,16,0,0,0,1,0,0,0,0,0,0,0,3,0.4,0.1,0.0,0.1,0,0.00,0.00,0.00,0.46,1,False
Rob Holding,5,Arsenal,DEF,45,3,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,0,0.00,0.00,0.00,0.14,1,False
Thomas Partey,6,Arsenal,MID,50,73,0,0,0,1,0,0,0,1,0,0,0,7,8.2,20.7,18.0,4.7,1,0.16,0.02,0.18,0.68,1,False
Martin Ødegaard,7,Arsenal,MID,65,86,1,1,0,2,0,0,0,0,0,0,3,46,58.8,44.3,27.0,13.0,1,0.06,0.77,0.83,1.00,13,True
Kieran Tierney,8,Arsenal,DEF,50,30,0,0,0,2,0,0,0,0,0,0,0,4,7.4,0.3,0.0,0.8,0,0.00,0.00,0.00,0.78,0,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,59,0,0,0,0,0,0,0,0,0,0,0,6,6.4,0.3,2.0,0.9,1,0.00,0.00,0.00,0.36,1,False
Eddie Nketiah,11,Arsenal,FWD,70,90,1,0,0,2,0,0,0,0,0,0,2,33,33.6,2.8,39.0,7.5,1,0.72,0.02,0.74,1.15,8,False
