,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,0,2,0,0,0,0,0,3,0,16,19.4,0.0,0.0,1.9,1,0.00,0.00,0.00,2.08,2,False
Granit Xhaka,3,Arsenal,MID,50,90,0,0,1,0,0,0,0,0,0,0,0,16,20.4,4.6,22.0,4.7,1,0.07,0.03,0.10,0.29,3,False
Mohamed Elneny,4,Arsenal,MID,45,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.5,0.0,0.2,0,0.00,0.00,0.00,0.00,1,False
Rob Holding,5,Arsenal,DEF,45,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,1,False
Thomas Partey,6,Arsenal,MID,50,90,0,0,1,0,0,0,0,0,0,0,0,14,12.2,2.6,11.0,2.6,1,0.34,0.02,0.36,0.29,3,False
Martin Ødegaard,7,Arsenal,MID,65,86,0,0,1,0,0,0,0,0,0,0,0,6,9.8,27.3,6.0,4.3,1,0.12,0.28,0.40,0.29,3,False
Kieran Tierney,8,Arsenal,DEF,50,12,0,0,0,0,0,0,0,0,0,0,0,5,3.8,0.0,0.0,0.4,0,0.00,0.00,0.00,0.05,1,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,90,0,0,1,0,0,0,0,1,0,0,0,21,10.4,12.8,7.0,3.0,1,0.13,0.02,0.15,0.29,5,False
Eddie Nketiah,11,Arsenal,FWD,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Emile Smith Rowe,12,Arsenal,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bukayo Saka,13,Arsenal,MID,80,90,0,1,1,0,0,0,0,1,0,0,0,16,23.8,43.5,6.0,7.3,1,0.11,0.13,0.24,0.29,5,False
Takehiro Tomiyasu,14,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Aaron Ramsdale,15,Arsenal,GK,50,90,0,0,1,0,0,0,0,0,0,1,0,21,12.8,0.0,0.0,1.3,1,0.00,0.00,0.00,0.29,6,False
Gabriel dos Santos Magalhães,16,Arsenal,DEF,50,90,1,0,1,0,0,0,0,0,0,0,3,40,48.2,0.3,39.0,8.8,1,0.78,0.01,0.79,0.29,15,True
Nuno Varela Tavares,17,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Albert Sambi Lokonga,18,Crystal Palace,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Gabriel Martinelli Silva,19,Arsenal,MID,60,90,0,0,1,0,0,0,0,0,0,0,0,5,0.0,13.3,7.0,2.0,1,0.16,0.22,0.38,0.29,3,False
Pablo Marí Villar,20,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ainsley Maitland-Niles,21,Southampton,MID,50,90,0,0,0,4,0,0,0,0,0,0,0,15,21.6,37.7,4.0,6.3,1,0.00,0.08,0.08,0.86,2,False
Lucas Torreira di Pascua,22,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Reiss Nelson,23,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Matt Turner,24,Arsenal,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Fábio Ferreira Vieira,25,Arsenal,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
William Saliba,26,Arsenal,DEF,45,90,0,0,1,0,0,0,0,0,0,0,2,28,19.6,4.3,4.0,2.8,1,0.00,0.01,0.01,0.29,8,False
Marcus Oliveira Alencar,27,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Gabriel Fernando de Jesus,28,Arsenal,FWD,80,90,0,0,1,0,0,0,0,0,0,0,0,2,16.4,23.8,51.0,9.1,1,0.55,0.04,0.59,0.29,2,False
Philippe Coutinho Correia,29,Aston Villa,MID,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Danny Ings,30,West Ham,FWD,70,11,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.3,2.0,0.2,0,0.00,0.00,0.00,0.00,1,False
Emiliano Martínez Romero,31,Aston Villa,GK,50,90,0,0,0,1,0,0,0,1,0,3,0,15,27.2,0.0,0.0,2.7,1,0.00,0.00,0.00,0.52,2,False
Calum Chambers,32,Aston Villa,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Lucas Digne,33,Aston Villa,DEF,50,78,1,0,0,1,0,0,0,0,0,0,2,22,39.6,1.6,7.0,4.8,1,0.03,0.01,0.04,0.52,10,True
Bertrand Traoré,34,Aston Villa,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Robin Olsen,35,Aston Villa,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Morgan Sanson,36,Aston Villa,MID,45,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,0,0.00,0.00,0.00,0.00,1,False
John McGinn,37,Aston Villa,MID,55,20,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.6,0.0,0.0,0,0.00,0.00,0.00,0.07,1,False
Kortney Hause,38,Aston Villa,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Tyrone Mings,39,Aston Villa,DEF,45,90,0,0,0,1,0,0,0,1,0,0,0,12,22.6,0.1,0.0,2.3,1,0.00,0.00,0.00,0.52,1,False
Ollie Watkins,40,Aston Villa,FWD,75,77,0,1,0,1,0,0,0,0,0,0,0,15,18.8,13.3,8.0,4.0,1,0.00,0.09,0.09,0.52,5,False
Marvelous Nakamba,41,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Emiliano Buendía Stati,42,Aston Villa,MID,60,78,0,0,0,1,0,0,0,0,0,0,0,9,8.4,1.9,4.0,1.4,1,0.10,0.02,0.12,0.52,2,False
Matty Cash,43,Aston Villa,DEF,50,90,0,0,0,1,0,0,0,0,0,0,0,13,7.2,1.7,1.0,1.0,1,0.02,0.00,0.02,0.52,2,False
Ezri Konsa Ngoyo,44,Aston Villa,DEF,45,90,0,0,0,1,0,0,0,0,0,0,0,14,14.0,0.2,2.0,1.6,1,0.00,0.00,0.00,0.52,2,False
Leon Bailey,45,Aston Villa,MID,50,69,1,0,0,1,0,0,0,1,0,0,1,21,42.2,15.4,30.0,8.8,1,0.33,0.05,0.38,0.44,7,False
Douglas Luiz Soares de Paulo,46,Aston Villa,MID,50,90,0,0,0,1,0,0,0,0,0,0,0,10,9.8,12.3,0.0,2.2,1,0.00,0.01,0.01,0.52,2,False
Jacob Ramsey,47,Aston Villa,MID,55,90,1,2,0,1,1,0,0,0,0,0,3,43,57.8,13.3,19.0,9.0,1,0.18,0.03,0.21,0.52,14,True
Carney Chukwuemeka,48,Chelsea,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
