,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,0,1,0,0,0,0,0,1,0,9,13.0,0.0,0.0,1.3,1,0.00,0.00,0.00,0.80,2,False
Granit Xhaka,3,Arsenal,MID,50,161,0,0,2,0,0,0,0,0,0,0,0,28,14.2,23.6,4.0,4.2,2,0.00,0.12,0.12,0.76,6,False
Mohamed Elneny,4,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rob Holding,5,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Thomas Partey,6,Arsenal,MID,50,51,0,0,0,0,0,0,0,0,0,0,0,21,10.6,17.7,2.0,3.1,0,0.00,0.41,0.41,0.72,2,False
Martin Ødegaard,7,Arsenal,MID,65,173,1,0,2,0,0,0,0,0,0,0,0,43,47.0,66.1,32.0,14.5,2,0.55,0.19,0.74,1.38,11,False
Kieran Tierney,8,Arsenal,DEF,50,8,0,0,0,0,0,0,0,0,0,0,0,4,4.0,4.4,2.0,1.0,0,0.00,0.02,0.02,0.62,1,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,180,0,0,2,0,0,0,0,0,0,0,1,52,27.8,25.8,0.0,5.4,2,0.00,0.18,0.18,1.38,13,True
Eddie Nketiah,11,Arsenal,FWD,70,38,0,1,0,0,0,0,0,0,0,0,0,16,22.2,11.4,19.0,5.3,0,0.55,0.50,1.05,0.64,5,False
Emile Smith Rowe,12,Arsenal,MID,60,8,0,0,0,0,0,0,0,0,0,0,0,1,0.2,1.0,7.0,0.8,0,0.14,0.01,0.15,0.62,1,False
Bukayo Saka,13,Arsenal,MID,80,171,1,1,2,0,0,0,0,0,0,0,1,43,58.2,50.5,50.0,15.9,2,0.47,0.08,0.55,0.76,15,True
