,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,0,2,0,0,0,0,0,1,0,11,8.0,0.0,0.0,0.8,1,0.00,0.00,0.00,1.41,1,False
Granit Xhaka,3,Arsenal,MID,50,90,0,1,1,0,0,0,0,1,0,0,0,24,25.0,36.2,3.0,6.4,1,0.04,0.25,0.29,0.53,5,False
Mohamed Elneny,4,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rob Holding,5,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Thomas Partey,6,Arsenal,MID,50,77,0,0,1,0,0,0,0,0,0,0,0,13,10.2,6.9,0.0,1.7,1,0.00,0.04,0.04,0.49,3,False
Martin Ødegaard,7,Arsenal,MID,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Kieran Tierney,8,Arsenal,DEF,50,90,0,0,1,0,0,0,0,0,0,0,0,27,13.6,14.1,3.0,3.1,1,0.02,0.13,0.15,0.53,6,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,85,0,0,1,0,0,0,0,0,0,0,0,27,16.6,27.6,2.0,4.6,1,0.00,0.06,0.06,0.49,6,False
Eddie Nketiah,11,Arsenal,FWD,70,12,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.7,2.0,0.3,0,0.00,0.00,0.00,0.04,1,False
Emile Smith Rowe,12,Arsenal,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bukayo Saka,13,Arsenal,MID,80,90,0,2,1,0,0,0,0,0,0,0,0,28,42.6,41.8,33.0,11.7,1,0.23,0.13,0.36,0.53,9,False
Takehiro Tomiyasu,14,Arsenal,DEF,45,4,0,0,0,0,0,0,0,0,0,0,0,2,0.8,0.7,0.0,0.2,0,0.00,0.00,0.00,0.04,1,False
Aaron Ramsdale,15,Arsenal,GK,50,90,0,0,1,0,0,0,0,0,0,2,0,24,17.8,0.0,0.0,1.8,1,0.00,0.00,0.00,0.53,6,False
Gabriel dos Santos Magalhães,16,Arsenal,DEF,50,90,0,0,1,0,0,0,0,0,0,0,0,27,16.2,1.1,1.0,1.8,1,0.02,0.02,0.04,0.53,6,False
Nuno Varela Tavares,17,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Albert Sambi Lokonga,18,Crystal Palace,MID,45,12,0,0,0,0,0,0,0,0,0,0,0,4,1.6,0.9,0.0,0.3,0,0.00,0.00,0.00,0.04,1,False
Gabriel Martinelli Silva,19,Arsenal,MID,60,77,0,0,1,0,0,0,0,0,0,0,0,7,12.4,24.6,23.0,6.0,1,0.17,0.18,0.35,0.49,3,False
