,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,1,0,0,0,0,0,0,0,0,23,4.8,0.0,0.0,0.5,1,0.00,0.00,0.00,0.40,6,False
Granit Xhaka,3,Arsenal,MID,50,90,0,1,0,1,0,0,0,0,0,0,0,22,31.8,31.9,23.0,8.7,1,0.07,0.08,0.15,1.07,5,False
Mohamed Elneny,4,Arsenal,MID,45,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,1,False
Rob Holding,5,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Thomas Partey,6,Arsenal,MID,50,90,0,0,0,1,0,0,0,0,0,0,0,14,8.2,6.6,3.0,1.8,1,0.05,0.08,0.13,1.07,2,False
Martin Ødegaard,7,Arsenal,MID,65,90,0,2,0,1,0,0,0,0,0,0,3,41,38.8,67.8,40.0,14.7,1,0.38,0.26,0.64,1.07,11,False
Kieran Tierney,8,Arsenal,DEF,50,72,0,0,0,1,0,0,0,0,0,0,0,10,3.2,13.8,4.0,2.1,1,0.00,0.04,0.04,0.97,2,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,90,0,0,0,1,0,0,0,0,0,0,0,20,19.0,22.5,4.0,4.6,1,0.00,0.33,0.33,1.07,2,False
Eddie Nketiah,11,Arsenal,FWD,70,90,1,0,0,1,0,0,0,0,0,0,0,22,32.0,2.7,55.0,9.0,1,0.46,0.03,0.49,1.07,6,False
Emile Smith Rowe,12,Arsenal,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bukayo Saka,13,Arsenal,MID,80,90,1,0,0,1,0,0,0,0,0,0,2,38,48.4,53.2,29.0,13.1,1,0.66,0.31,0.97,1.07,9,False
Takehiro Tomiyasu,14,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Aaron Ramsdale,15,Arsenal,GK,50,90,0,0,0,1,0,0,0,0,0,3,0,14,20.0,0.0,0.0,2.0,1,0.00,0.01,0.01,1.07,3,False
Gabriel dos Santos Magalhães,16,Arsenal,DEF,50,90,0,0,0,1,0,0,0,0,0,0,0,20,19.2,4.7,0.0,2.4,1,0.00,0.06,0.06,1.07,2,False
Nuno Varela Tavares,17,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Albert Sambi Lokonga,18,Crystal Palace,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Gabriel Martinelli Silva,19,Arsenal,MID,60,87,1,0,0,1,0,0,0,0,0,0,1,26,37.2,13.5,29.0,8.0,1,0.08,0.04,0.12,1.02,8,False
Pablo Marí Villar,20,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ainsley Maitland-Niles,21,Southampton,MID,50,36,0,0,0,1,0,0,0,0,0,0,0,11,14.4,14.5,0.0,2.9,0,0.00,0.20,0.20,0.26,1,False
Lucas Torreira di Pascua,22,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Reiss Nelson,23,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Matt Turner,24,Arsenal,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Fábio Ferreira Vieira,25,Arsenal,MID,60,2,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.1,0.0,0.1,0,0.00,0.00,0.00,0.05,1,False
William Saliba,26,Arsenal,DEF,45,90,0,0,0,1,0,0,0,0,0,0,0,9,16.8,1.0,33.0,5.1,1,0.42,0.01,0.43,1.07,2,False
Marcus Oliveira Alencar,27,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Gabriel Fernando de Jesus,28,Arsenal,FWD,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Philippe Coutinho Correia,29,Aston Villa,MID,70,5,0,0,0,0,0,0,0,0,0,0,0,2,5.2,0.2,2.0,0.7,0,0.00,0.00,0.00,0.05,1,False
Danny Ings,30,West Ham,FWD,70,4,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.3,0.0,0.2,0,0.00,0.00,0.00,0.05,1,False
Emiliano Martínez Romero,31,Aston Villa,GK,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Calum Chambers,32,Aston Villa,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Lucas Digne,33,Aston Villa,DEF,50,90,0,0,0,3,0,0,0,0,0,0,0,20,28.0,59.4,25.0,11.2,1,0.06,0.36,0.42,2.75,1,False
Bertrand Traoré,34,Aston Villa,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Robin Olsen,35,Aston Villa,GK,40,90,0,0,0,3,0,0,0,0,0,6,0,21,45.4,0.0,0.0,4.5,1,0.00,0.00,0.00,2.75,3,False
Morgan Sanson,36,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
John McGinn,37,Aston Villa,MID,55,90,0,0,0,3,0,0,0,0,0,0,0,10,11.4,17.2,41.0,7.0,1,0.23,0.21,0.44,2.75,2,False
Kortney Hause,38,Aston Villa,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Tyrone Mings,39,Aston Villa,DEF,45,90,0,0,0,3,0,0,0,0,0,0,0,13,8.8,0.8,0.0,1.0,1,0.00,0.01,0.01,2.75,1,False
Ollie Watkins,40,Aston Villa,FWD,75,90,1,0,0,3,0,0,0,0,0,0,0,22,42.6,11.6,75.0,12.9,1,0.51,0.02,0.53,2.75,6,False
Marvelous Nakamba,41,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Emiliano Buendía Stati,42,Aston Villa,MID,60,85,0,0,0,3,0,0,0,0,0,0,0,7,8.6,16.9,12.0,3.8,1,0.07,0.05,0.12,2.70,2,False
Matty Cash,43,Aston Villa,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ezri Konsa Ngoyo,44,Aston Villa,DEF,45,90,0,0,0,3,0,0,0,0,0,0,0,13,12.6,0.5,0.0,1.3,1,0.00,0.00,0.00,2.75,1,False
Leon Bailey,45,Aston Villa,MID,50,85,0,0,0,3,0,0,0,0,0,0,0,1,2.4,5.1,29.0,3.7,1,0.43,0.05,0.48,2.70,2,False
Douglas Luiz Soares de Paulo,46,Aston Villa,MID,50,90,0,1,0,3,0,0,0,0,0,0,0,24,31.4,37.6,4.0,7.3,1,0.00,0.17,0.17,2.75,5,False
Jacob Ramsey,47,Aston Villa,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Carney Chukwuemeka,48,Chelsea,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Tim Iroegbunam,49,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Diego Carlos Santos Silva,50,Aston Villa,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Anwar El Ghazi,51,Aston Villa,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Keinan Davis,52,Aston Villa,FWD,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Boubacar Kamara,53,Aston Villa,MID,50,84,0,0,0,3,0,0,0,0,0,0,0,10,8.4,2.2,0.0,1.1,1,0.00,0.02,0.02,2.70,2,False
Cameron Archer,54,Aston Villa,FWD,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Jaden Philogene-Bidace,55,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Frédéric Guilbert,56,Aston Villa,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Adam Smith,57,Bournemouth,DEF,45,90,0,0,0,2,0,0,0,0,0,0,0,8,5.4,2.3,6.0,1.4,1,0.00,0.01,0.01,1.74,1,False
Junior Stanislas,58,Bournemouth,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ryan Fredericks,59,Bournemouth,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
David Brooks,60,Bournemouth,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Jamal Lowe,61,Bournemouth,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Kieffer Moore,62,Bournemouth,FWD,55,84,0,0,0,2,0,0,0,0,0,0,0,3,0.0,2.2,2.0,0.2,1,0.00,0.02,0.02,1.74,2,False
Emiliano Marcondes,63,Bournemouth,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Jefferson Lerma Solís,64,Bournemouth,MID,50,90,0,0,0,2,0,0,0,0,0,0,0,8,3.4,14.0,5.0,2.2,1,0.03,0.15,0.18,1.74,2,False
Jack Stacey,65,Bournemouth,DEF,45,45,0,0,0,2,0,0,0,0,0,0,0,3,0.0,0.2,2.0,0.1,1,0.00,0.00,0.00,1.12,0,False
Dominic Solanke,66,Bournemouth,FWD,60,90,0,0,0,2,0,0,0,0,0,0,0,2,0.0,0.9,10.0,1.0,1,0.15,0.01,0.16,1.74,2,False
Lewis Cook,67,Bournemouth,MID,50,90,0,0,0,2,0,0,0,0,0,0,0,14,15.4,3.3,10.0,2.9,1,0.02,0.11,0.13,1.74,2,False
Ben Pearson,68,Bournemouth,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ryan Christie,69,Bournemouth,MID,55,24,0,0,0,0,0,0,0,0,0,0,0,1,6.2,10.6,17.0,3.4,0,0.10,0.00,0.10,0.25,1,False
Philip Billing,70,Bournemouth,MID,55,65,0,0,0,2,0,0,0,0,0,0,0,9,10.8,1.1,9.0,2.1,1,0.03,0.00,0.03,1.49,2,False
Chris Mepham,71,Bournemouth,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Mark Travers,72,Bournemouth,GK,45,90,0,0,0,2,0,0,0,0,0,3,0,15,23.2,0.0,0.0,2.3,1,0.00,0.00,0.00,1.74,2,False
Lloyd Kelly,73,Bournemouth,DEF,45,90,0,0,0,2,0,0,0,0,0,0,0,12,14.8,0.8,4.0,2.0,1,0.10,0.01,0.11,1.74,1,False
Siriki Dembélé,74,Bournemouth,MID,50,5,0,0,0,0,0,0,0,0,0,0,0,6,5.4,14.6,2.0,2.2,0,0.00,0.08,0.08,0.00,1,False
Jaidon Anthony,75,Bournemouth,MID,55,45,0,0,0,0,0,0,0,0,0,0,0,5,19.2,42.9,16.0,7.8,0,0.10,0.13,0.23,0.62,1,False
