,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Dominic Calvert-Lewin,191,Everton,FWD,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Mason Holgate,192,Everton,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ben Godfrey,193,Everton,DEF,45,90,0,0,1,0,0,0,0,0,0,0,0,22,12.4,0.7,2.0,1.5,1,0.00,0.00,0.00,2.10,6,False
Vitalii Mykolenko,194,Everton,DEF,45,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.11,1,False
Anthony Gordon,195,Newcastle,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Jarrad Branthwaite,196,Everton,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Nathan Patterson,197,Everton,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Niels Nkounkou,198,Everton,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
James Tarkowski,199,Everton,DEF,45,90,0,0,1,0,0,0,0,0,0,0,2,28,24.2,0.3,6.0,3.1,1,0.00,0.00,0.00,2.10,8,False
Tom Cairney,200,Fulham,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Tim Ream,201,Fulham,DEF,45,90,0,0,0,3,0,0,0,0,0,0,0,13,13.8,12.2,0.0,2.6,1,0.00,0.01,0.01,2.38,1,False
Anthony Knockaert,202,Fulham,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Nathaniel Chalobah,203,Fulham,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Neeskens Kebano,204,Fulham,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bobby De Cordova-Reid,205,Fulham,MID,55,90,0,0,0,3,0,0,0,0,0,0,0,9,11.0,19.7,17.0,4.8,1,0.10,0.03,0.13,2.38,2,False
Joe Bryan,206,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Paulo Gazzaniga Farias,207,Fulham,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Terence Kongolo,208,Fulham,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Tosin Adarabioyo,209,Fulham,DEF,45,90,0,0,0,3,0,0,0,0,0,0,0,15,19.8,1.9,17.0,3.9,1,0.06,0.02,0.08,2.38,1,False
Aleksandar Mitrović,210,Fulham,FWD,65,90,0,0,0,3,0,0,0,0,0,0,0,-1,7.8,1.2,21.0,3.0,1,0.17,0.00,0.17,2.38,2,False
Harrison Reed,211,Fulham,MID,45,90,0,0,0,3,0,0,0,0,0,0,0,12,14.2,25.0,4.0,4.3,1,0.00,0.18,0.18,2.38,2,False
