,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,7,0,0,0,1,0,0,0,0,0,0,0,5,4.2,0.3,0.0,0.5,0,0.00,0.00,0.00,0.35,1,False
Bernd Leno,2,Fulham,GK,45,90,0,0,0,3,0,0,0,0,0,3,0,19,25.0,0.0,0.0,2.5,1,0.00,0.00,0.00,2.34,2,False
Granit Xhaka,3,Arsenal,MID,50,6,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.3,2.0,0.3,0,0.00,0.01,0.01,0.00,1,False
Mohamed Elneny,4,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rob Holding,5,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Thomas Partey,6,Arsenal,MID,50,90,1,0,0,2,0,0,0,0,0,0,1,29,48.8,19.8,37.0,10.6,1,0.60,0.11,0.71,1.32,8,False
Martin Ødegaard,7,Arsenal,MID,65,90,0,0,0,2,0,0,0,0,0,0,0,16,27.6,57.1,58.0,14.3,1,0.56,0.38,0.94,1.32,2,False
Kieran Tierney,8,Arsenal,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,45,1,0,0,1,0,0,0,0,0,0,0,21,42.0,25.0,25.0,9.2,0,0.11,0.04,0.15,0.26,7,False
Eddie Nketiah,11,Arsenal,FWD,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Emile Smith Rowe,12,Arsenal,MID,60,46,0,1,0,1,0,0,0,0,0,0,0,15,19.2,25.5,14.0,5.9,0,0.02,0.30,0.32,0.26,4,False
Bukayo Saka,13,Arsenal,MID,80,90,0,0,0,2,0,0,0,0,0,0,0,9,19.6,47.2,69.0,13.6,1,0.71,0.22,0.93,1.32,2,False
Takehiro Tomiyasu,14,Arsenal,DEF,45,45,0,0,0,1,0,0,0,0,0,0,0,10,5.8,5.9,17.0,2.9,1,0.02,0.02,0.04,1.06,1,False
Aaron Ramsdale,15,Arsenal,GK,50,90,0,0,0,2,0,0,0,0,0,2,0,12,18.4,0.0,0.0,1.8,1,0.00,0.00,0.00,1.32,1,False
Gabriel dos Santos Magalhães,16,Arsenal,DEF,50,90,0,0,0,2,0,0,0,0,0,0,0,14,13.2,8.2,33.0,5.4,1,0.19,0.05,0.24,1.32,1,False
Nuno Varela Tavares,17,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Albert Sambi Lokonga,18,Crystal Palace,MID,45,80,0,0,0,1,0,0,0,0,0,0,0,18,20.0,11.9,0.0,3.2,1,0.00,0.01,0.01,1.09,2,False
Gabriel Martinelli Silva,19,Arsenal,MID,60,90,0,0,0,2,0,0,0,0,0,0,0,11,1.4,27.9,31.0,6.0,1,0.19,0.15,0.34,1.32,2,False
Pablo Marí Villar,20,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ainsley Maitland-Niles,21,Southampton,MID,50,90,0,0,1,0,0,0,0,0,0,0,0,15,18.2,11.8,2.0,3.2,1,0.00,0.06,0.06,1.90,3,False
