,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,0,2,0,0,0,0,0,6,0,22,46.8,0.0,0.0,4.7,1,0.00,0.00,0.00,2.73,3,False
Granit Xhaka,3,Arsenal,MID,50,90,0,0,0,1,0,0,0,0,0,0,0,9,8.2,25.0,12.0,4.5,1,0.09,0.07,0.16,0.83,2,False
Mohamed Elneny,4,Arsenal,MID,45,90,0,0,0,1,0,0,0,0,0,0,0,15,4.2,3.8,0.0,0.8,1,0.00,0.04,0.04,0.83,2,False
Rob Holding,5,Arsenal,DEF,45,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,1,False
Thomas Partey,6,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Martin Ødegaard,7,Arsenal,MID,65,90,1,0,0,1,0,0,0,0,0,0,3,37,58.2,44.2,36.0,13.8,1,0.18,0.46,0.64,0.83,10,False
Kieran Tierney,8,Arsenal,DEF,50,60,0,0,0,1,0,0,0,0,0,0,0,11,11.6,15.8,8.0,3.5,1,0.02,0.01,0.03,0.51,2,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,90,0,0,0,1,0,0,0,1,0,0,0,10,11.8,3.8,4.0,2.0,1,0.00,0.03,0.03,0.83,1,False
Eddie Nketiah,11,Arsenal,FWD,70,29,0,0,0,0,0,0,0,0,0,0,0,4,7.2,0.7,61.0,6.9,0,0.36,0.01,0.37,0.33,1,False
Emile Smith Rowe,12,Arsenal,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
