,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,0,2,0,0,0,0,0,8,0,25,57.6,0.0,0.0,5.8,1,0.00,0.00,0.00,2.98,3,False
Granit Xhaka,3,Arsenal,MID,50,90,0,0,0,3,0,0,0,0,0,0,0,18,15.2,14.9,46.0,7.6,1,0.16,0.13,0.29,1.55,2,False
Mohamed Elneny,4,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rob Holding,5,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Thomas Partey,6,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Martin Ødegaard,7,Arsenal,MID,65,73,0,0,0,2,0,0,0,0,0,0,0,9,7.0,46.8,14.0,6.8,1,0.35,0.34,0.69,1.25,2,False
Kieran Tierney,8,Arsenal,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,79,0,0,0,3,0,0,0,0,0,0,0,8,8.4,6.4,0.0,1.5,1,0.00,0.10,0.10,1.44,1,False
Eddie Nketiah,11,Arsenal,FWD,70,16,0,0,0,1,0,0,0,0,0,0,0,5,2.0,0.0,2.0,0.4,0,0.00,0.00,0.00,0.30,1,False
Emile Smith Rowe,12,Arsenal,MID,60,16,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.8,1.0,0.0,0,0.05,0.01,0.06,0.30,1,False
Bukayo Saka,13,Arsenal,MID,80,90,1,0,0,3,0,0,0,1,0,0,1,20,34.2,18.5,52.0,10.5,1,0.40,0.07,0.47,1.55,7,False
Takehiro Tomiyasu,14,Arsenal,DEF,45,10,0,0,0,0,0,0,0,0,0,0,0,3,4.6,0.8,0.0,0.5,0,0.00,0.01,0.01,0.11,1,False
Aaron Ramsdale,15,Arsenal,GK,50,90,0,0,0,3,0,0,0,0,0,3,0,14,25.2,0.0,0.0,2.5,1,0.00,0.00,0.00,1.55,2,False
Gabriel dos Santos Magalhães,16,Arsenal,DEF,50,90,0,0,0,3,0,0,0,0,0,0,0,13,14.0,1.0,10.0,2.5,1,0.02,0.03,0.05,1.55,1,False
Nuno Varela Tavares,17,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Albert Sambi Lokonga,18,Crystal Palace,MID,45,73,0,0,0,2,0,0,0,0,0,0,0,15,7.4,12.4,0.0,2.0,1,0.00,0.02,0.02,1.25,2,False
Gabriel Martinelli Silva,19,Arsenal,MID,60,90,0,0,0,3,0,0,0,0,0,0,0,8,11.4,33.1,53.0,9.8,1,0.10,0.07,0.17,1.55,2,False
Pablo Marí Villar,20,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ainsley Maitland-Niles,21,Southampton,MID,50,17,0,0,0,0,0,0,0,0,0,0,0,4,2.6,0.5,2.0,0.5,0,0.00,0.00,0.00,0.00,1,False
Lucas Torreira di Pascua,22,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Reiss Nelson,23,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Matt Turner,24,Arsenal,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Fábio Ferreira Vieira,25,Arsenal,MID,60,16,0,0,0,1,0,0,0,0,0,0,0,4,4.8,1.2,10.0,1.6,0,0.09,0.00,0.09,0.30,1,False
William Saliba,26,Arsenal,DEF,45,90,0,0,0,3,0,0,0,1,0,0,0,11,10.4,0.9,4.0,1.5,1,0.08,0.01,0.09,1.55,0,False
Marcus Oliveira Alencar,27,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Gabriel Fernando de Jesus,28,Arsenal,FWD,80,90,0,0,0,3,0,0,0,1,0,0,0,5,11.0,54.7,22.0,8.8,1,0.06,0.35,0.41,1.55,1,False
Philippe Coutinho Correia,29,Aston Villa,MID,70,25,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.3,2.0,0.2,0,0.00,0.00,0.00,0.90,1,False
Danny Ings,30,West Ham,FWD,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Emiliano Martínez Romero,31,Aston Villa,GK,50,90,0,0,0,1,0,0,0,0,0,3,0,16,27.6,0.0,0.0,2.8,1,0.00,0.00,0.00,2.10,3,False
Calum Chambers,32,Aston Villa,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Lucas Digne,33,Aston Villa,DEF,50,90,0,0,0,1,0,0,0,1,0,0,0,6,15.6,1.7,0.0,1.7,1,0.00,0.01,0.01,2.10,1,False
Bertrand Traoré,34,Aston Villa,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Robin Olsen,35,Aston Villa,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Morgan Sanson,36,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
John McGinn,37,Aston Villa,MID,55,64,0,0,0,1,0,0,0,0,0,0,0,6,6.6,0.2,0.0,0.7,1,0.00,0.00,0.00,1.20,2,False
Kortney Hause,38,Aston Villa,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Tyrone Mings,39,Aston Villa,DEF,45,90,0,0,0,1,0,0,0,0,0,0,0,10,11.6,0.3,2.0,1.4,1,0.00,0.02,0.02,2.10,2,False
Ollie Watkins,40,Aston Villa,FWD,75,90,0,0,0,1,0,0,0,0,0,0,0,1,3.4,0.9,24.0,2.8,1,0.18,0.01,0.19,2.10,2,False
Marvelous Nakamba,41,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Emiliano Buendía Stati,42,Aston Villa,MID,60,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,0,0.00,0.00,0.00,0.00,1,False
Matty Cash,43,Aston Villa,DEF,50,26,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1,0.00,0.00,0.00,0.43,0,False
Ezri Konsa Ngoyo,44,Aston Villa,DEF,45,90,0,0,0,1,0,0,0,0,0,0,0,5,4.4,0.1,0.0,0.5,1,0.00,0.00,0.00,2.10,2,False
Leon Bailey,45,Aston Villa,MID,50,90,1,0,0,1,0,0,0,0,0,0,1,22,30.6,0.9,18.0,5.0,1,0.17,0.01,0.18,2.10,8,False
Douglas Luiz Soares de Paulo,46,Aston Villa,MID,50,90,0,0,0,1,0,0,0,0,0,0,0,11,7.8,15.2,0.0,2.3,1,0.00,0.13,0.13,2.10,2,False
Jacob Ramsey,47,Aston Villa,MID,55,90,0,1,0,1,0,0,0,0,0,0,0,15,23.8,11.8,12.0,4.8,1,0.00,0.07,0.07,2.10,5,False
Carney Chukwuemeka,48,Chelsea,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Tim Iroegbunam,49,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Diego Carlos Santos Silva,50,Aston Villa,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Anwar El Ghazi,51,Aston Villa,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Keinan Davis,52,Aston Villa,FWD,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Boubacar Kamara,53,Aston Villa,MID,50,90,0,0,0,1,0,0,0,0,0,0,0,9,7.4,0.8,0.0,0.8,1,0.00,0.00,0.00,2.10,2,False
Cameron Archer,54,Aston Villa,FWD,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Jaden Philogene-Bidace,55,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Frédéric Guilbert,56,Aston Villa,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Adam Smith,57,Bournemouth,DEF,45,90,0,0,0,2,0,0,0,0,0,0,0,12,11.6,2.1,0.0,1.4,1,0.00,0.00,0.00,1.90,1,False
Junior Stanislas,58,Bournemouth,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ryan Fredericks,59,Bournemouth,DEF,45,45,0,0,0,0,0,0,0,0,0,0,0,3,4.8,1.2,0.0,0.6,0,0.00,0.02,0.02,0.68,1,False
David Brooks,60,Bournemouth,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Jamal Lowe,61,Bournemouth,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Kieffer Moore,62,Bournemouth,FWD,55,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,0,0.00,0.00,0.00,0.52,1,False
Emiliano Marcondes,63,Bournemouth,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Jefferson Lerma Solís,64,Bournemouth,MID,50,90,0,0,0,2,0,0,0,0,0,0,0,13,10.4,7.5,2.0,2.0,1,0.00,0.03,0.03,1.90,2,False
Jack Stacey,65,Bournemouth,DEF,45,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,1,False
Dominic Solanke,66,Bournemouth,FWD,60,90,1,1,0,2,0,0,0,0,0,0,3,42,51.2,13.7,23.0,8.8,1,0.07,0.13,0.20,1.90,12,True
Lewis Cook,67,Bournemouth,MID,50,90,0,1,0,2,0,0,0,0,0,0,1,28,38.4,22.8,8.0,6.9,1,0.02,0.01,0.03,1.90,6,False
Ben Pearson,68,Bournemouth,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ryan Christie,69,Bournemouth,MID,55,84,0,0,0,2,0,0,0,0,0,0,0,3,2.2,4.5,22.0,2.9,1,0.21,0.02,0.23,1.38,2,False
Philip Billing,70,Bournemouth,MID,55,89,1,0,0,2,0,0,0,0,0,0,0,27,37.0,19.1,11.0,6.7,1,0.02,0.07,0.09,1.38,7,False
Chris Mepham,71,Bournemouth,DEF,45,90,0,0,0,2,0,0,0,0,0,0,0,14,31.0,0.3,0.0,3.1,1,0.00,0.00,0.00,1.90,1,False
Mark Travers,72,Bournemouth,GK,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Lloyd Kelly,73,Bournemouth,DEF,45,90,0,1,0,2,0,0,0,0,0,0,0,18,23.8,10.9,2.0,3.7,1,0.00,0.10,0.10,1.90,4,False
Siriki Dembélé,74,Bournemouth,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Jaidon Anthony,75,Bournemouth,MID,55,5,1,0,0,0,0,0,0,0,0,0,1,28,38.2,10.3,17.0,6.6,0,0.32,0.03,0.35,0.52,7,False
Jordan Zemura,76,Bournemouth,DEF,45,45,0,0,0,2,0,0,0,0,0,0,0,5,5.2,1.8,2.0,0.9,1,0.00,0.03,0.03,1.22,0,False
Will Dennis,77,Bournemouth,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Pontus Jansson,78,Brentford,DEF,45,90,0,0,0,2,0,0,0,0,0,0,0,12,22.6,0.0,0.0,2.3,1,0.00,0.00,0.00,1.92,1,False
Christian Nørgaard,79,Brentford,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ivan Toney,80,Brentford,FWD,70,90,3,0,0,2,0,0,0,0,0,0,3,74,102.0,1.7,55.0,15.9,1,1.13,0.01,1.14,1.92,17,True
David Raya Martin,81,Brentford,GK,45,90,0,0,0,2,0,0,0,0,0,4,0,17,32.4,10.0,0.0,4.2,1,0.00,0.01,0.01,1.92,2,False
Sergi Canós Tenés,82,Brentford,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Josh Dasilva,83,Brentford,MID,45,31,0,0,0,1,0,0,0,0,0,0,0,5,3.4,0.8,4.0,0.8,0,0.00,0.01,0.01,1.43,1,False
Kristoffer Ajer,84,Brentford,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rico Henry,85,Brentford,DEF,45,90,0,0,0,2,0,0,0,0,0,0,0,8,11.2,0.8,1.0,1.3,1,0.02,0.00,0.02,1.92,1,False
Vitaly Janelt,86,Brentford,MID,55,66,0,0,0,1,0,0,0,0,0,0,0,17,13.8,0.7,0.0,1.5,1,0.00,0.00,0.00,0.49,2,False
Saman Ghoddos,87,Brentford,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Mathias Jensen,88,Brentford,MID,50,82,0,0,0,2,0,0,0,0,0,0,0,9,7.2,14.8,4.0,2.6,1,0.09,0.01,0.10,1.73,2,False
Yoane Wissa,89,Brentford,MID,55,7,1,0,0,0,0,0,0,0,0,0,0,21,32.0,0.3,24.0,5.6,0,0.73,0.02,0.75,0.18,6,False
Mads Roerslev Rasmussen,90,Brentford,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Mads Bech Sørensen,91,Brentford,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ethan Pinnock,92,Brentford,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Frank Onyeka,93,Brentford,MID,50,31,0,0,0,1,0,0,0,0,0,0,0,5,6.0,0.0,0.0,0.6,0,0.00,0.00,0.00,1.43,1,False
Shandon Baptiste,94,Brentford,MID,45,58,0,1,0,1,0,0,0,0,0,0,0,14,3.2,0.5,0.0,0.4,1,0.00,0.00,0.00,0.49,4,False
Bryan Mbeumo,95,Brentford,FWD,60,82,1,0,0,2,0,0,0,0,0,0,2,36,43.0,26.0,21.0,9.0,1,0.23,0.10,0.33,1.73,8,False
Charlie Goode,96,Brentford,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Marcus Forss,97,Brentford,FWD,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Dominic Thompson,98,Brentford,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Mads Bidstrup,99,Brentford,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ellery Balcombe,100,Brentford,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
