,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,0,2,0,0,0,0,0,4,0,18,31.6,0.0,0.0,3.2,1,0.00,0.00,0.00,1.05,2,False
Granit Xhaka,3,Arsenal,MID,50,90,0,0,1,0,0,0,0,0,0,0,0,15,8.6,2.8,2.0,1.3,1,0.00,0.02,0.02,1.86,3,False
Mohamed Elneny,4,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rob Holding,5,Arsenal,DEF,45,8,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,0,0.00,0.00,0.00,0.14,1,False
Thomas Partey,6,Arsenal,MID,50,90,0,0,1,0,0,0,0,0,0,0,0,15,10.0,1.0,0.0,1.1,1,0.00,0.00,0.00,1.86,3,False
Martin Ødegaard,7,Arsenal,MID,65,72,0,1,1,0,0,0,0,0,0,0,0,25,28.8,23.1,44.0,9.6,1,0.16,0.17,0.33,1.69,6,False
Kieran Tierney,8,Arsenal,DEF,50,14,0,0,0,0,0,0,0,0,0,0,0,4,2.2,0.3,0.0,0.3,0,0.00,0.00,0.00,0.17,1,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,75,0,0,1,0,0,0,0,0,0,0,0,21,25.8,1.6,0.0,2.7,1,0.00,0.01,0.01,1.69,6,False
Eddie Nketiah,11,Arsenal,FWD,70,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,7.0,0.5,0,0.07,0.00,0.07,0.14,1,False
Emile Smith Rowe,12,Arsenal,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bukayo Saka,13,Arsenal,MID,80,81,1,0,1,0,0,0,0,0,0,0,1,28,37.4,18.3,19.0,7.5,1,0.09,0.09,0.18,1.72,9,True
Takehiro Tomiyasu,14,Arsenal,DEF,45,90,0,0,1,0,0,0,0,0,0,0,0,26,12.4,1.3,0.0,1.4,1,0.00,0.01,0.01,1.86,6,False
Aaron Ramsdale,15,Arsenal,GK,50,90,0,0,1,0,0,0,0,0,0,4,3,32,34.8,0.0,0.0,3.5,1,0.00,0.00,0.00,1.86,10,False
Gabriel dos Santos Magalhães,16,Arsenal,DEF,50,90,0,0,1,0,0,0,0,1,0,0,3,32,42.2,0.3,17.0,6.0,1,0.10,0.00,0.10,1.86,8,False
Nuno Varela Tavares,17,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Albert Sambi Lokonga,18,Crystal Palace,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Gabriel Martinelli Silva,19,Arsenal,MID,60,90,0,0,1,0,0,0,0,0,0,0,0,3,7.8,13.3,22.0,4.3,1,0.05,0.21,0.26,1.86,3,False
Pablo Marí Villar,20,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ainsley Maitland-Niles,21,Southampton,MID,50,74,0,0,0,1,0,0,0,0,0,0,0,9,12.6,0.6,0.0,1.3,1,0.00,0.00,0.00,1.21,2,False
Lucas Torreira di Pascua,22,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Reiss Nelson,23,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Matt Turner,24,Arsenal,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Fábio Ferreira Vieira,25,Arsenal,MID,60,17,0,0,0,0,0,0,0,0,0,0,0,2,1.2,14.8,0.0,1.6,0,0.00,0.02,0.02,0.17,1,False
William Saliba,26,Arsenal,DEF,45,90,0,0,1,0,0,0,0,1,0,0,0,21,13.6,0.3,0.0,1.4,1,0.00,0.00,0.00,1.86,5,False
Marcus Oliveira Alencar,27,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Gabriel Fernando de Jesus,28,Arsenal,FWD,80,81,0,0,1,0,0,0,0,0,0,0,0,2,6.0,23.5,11.0,4.1,1,0.07,0.02,0.09,1.72,2,False
Philippe Coutinho Correia,29,Aston Villa,MID,70,16,0,0,0,0,0,0,0,0,0,0,0,4,1.4,0.5,8.0,1.0,0,0.04,0.00,0.04,0.12,1,False
Danny Ings,30,West Ham,FWD,70,90,0,0,0,2,0,0,0,0,0,0,0,0,11.0,0.8,84.0,9.6,1,0.42,0.00,0.42,0.87,2,False
Emiliano Martínez Romero,31,Aston Villa,GK,50,90,0,0,0,2,0,0,0,0,0,2,0,17,20.4,0.0,0.0,2.0,1,0.00,0.00,0.00,0.87,1,False
Calum Chambers,32,Aston Villa,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Lucas Digne,33,Aston Villa,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bertrand Traoré,34,Aston Villa,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Robin Olsen,35,Aston Villa,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Morgan Sanson,36,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
John McGinn,37,Aston Villa,MID,55,73,0,0,0,2,0,0,0,0,0,0,0,4,17.8,10.8,43.0,7.2,1,0.40,0.55,0.95,0.75,2,False
Kortney Hause,38,Aston Villa,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Tyrone Mings,39,Aston Villa,DEF,45,90,0,0,0,2,0,0,0,0,0,0,0,11,15.0,14.3,0.0,2.9,1,0.00,0.01,0.01,0.87,1,False
Ollie Watkins,40,Aston Villa,FWD,75,90,0,0,0,2,0,0,0,0,0,0,0,-1,4.4,17.9,19.0,4.1,1,0.22,0.09,0.31,0.87,2,False
Marvelous Nakamba,41,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Emiliano Buendía Stati,42,Aston Villa,MID,60,24,0,0,0,0,0,0,0,0,0,0,0,2,2.8,4.2,22.0,2.9,0,0.06,0.01,0.07,0.21,1,False
Matty Cash,43,Aston Villa,DEF,50,90,0,0,0,2,0,0,0,0,0,0,0,15,16.2,50.0,0.0,6.6,1,0.00,0.10,0.10,0.87,1,False
Ezri Konsa Ngoyo,44,Aston Villa,DEF,45,90,0,0,0,2,0,0,0,0,0,0,0,13,12.4,10.7,6.0,2.9,1,0.03,0.02,0.05,0.87,1,False
Leon Bailey,45,Aston Villa,MID,50,65,0,0,0,2,0,0,0,0,0,0,0,10,2.8,34.8,10.0,4.8,1,0.44,0.62,1.06,0.66,2,False
Douglas Luiz Soares de Paulo,46,Aston Villa,MID,50,90,0,0,0,2,0,0,0,0,0,0,0,10,12.0,7.6,7.0,2.7,1,0.02,0.01,0.03,0.87,2,False
Jacob Ramsey,47,Aston Villa,MID,55,77,0,0,0,2,0,0,0,0,0,0,0,8,5.6,3.2,23.0,3.2,1,0.18,0.01,0.19,0.75,2,False
Carney Chukwuemeka,48,Chelsea,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Tim Iroegbunam,49,Aston Villa,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Diego Carlos Santos Silva,50,Aston Villa,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
