,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,1,0,0,0,0,0,0,2,0,27,19.8,0.0,0.0,2.0,1,0.00,0.00,0.00,1.54,6,False
Granit Xhaka,3,Arsenal,MID,50,90,0,0,0,1,0,0,0,0,0,0,0,10,4.6,27.1,13.0,4.5,1,0.12,0.08,0.20,1.66,2,False
Mohamed Elneny,4,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rob Holding,5,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Thomas Partey,6,Arsenal,MID,50,58,0,0,0,0,0,0,0,0,0,0,0,9,15.0,4.7,7.0,2.7,1,0.03,0.03,0.06,1.33,1,False
Martin Ødegaard,7,Arsenal,MID,65,76,0,0,0,1,0,0,0,0,0,0,0,14,5.2,23.6,10.0,3.9,1,0.10,0.15,0.25,1.64,2,False
Kieran Tierney,8,Arsenal,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,84,0,0,0,1,0,0,0,0,0,0,0,12,8.6,5.3,2.0,1.6,1,0.00,0.04,0.04,1.66,2,False
Eddie Nketiah,11,Arsenal,FWD,70,90,0,0,0,1,0,0,0,0,0,0,0,9,4.0,11.1,17.0,3.2,1,0.20,0.08,0.28,1.66,2,False
Emile Smith Rowe,12,Arsenal,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bukayo Saka,13,Arsenal,MID,80,90,0,0,0,1,0,0,0,0,0,0,0,17,17.6,47.2,33.0,9.8,1,0.19,0.08,0.27,1.66,2,False
Takehiro Tomiyasu,14,Arsenal,DEF,45,5,0,0,0,0,0,0,0,0,0,0,0,6,3.4,0.3,0.0,0.4,0,0.00,0.00,0.00,0.00,1,False
Aaron Ramsdale,15,Arsenal,GK,50,90,0,0,0,1,0,0,0,0,0,3,0,14,16.6,0.0,0.0,1.7,1,0.00,0.00,0.00,1.66,3,False
Gabriel dos Santos Magalhães,16,Arsenal,DEF,50,90,0,0,0,1,0,0,0,0,0,0,0,17,22.6,2.5,0.0,2.5,1,0.00,0.01,0.01,1.66,2,False
