,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,1,0,0,0,0,0,0,7,3,36,58.2,0.0,0.0,5.8,1,0.00,0.00,0.00,2.20,11,True
Granit Xhaka,3,Arsenal,MID,50,78,0,0,0,2,0,0,0,0,0,0,0,7,4.2,3.8,8.0,1.6,1,0.06,0.02,0.08,0.40,2,False
Mohamed Elneny,4,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rob Holding,5,Arsenal,DEF,45,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,1,False
Thomas Partey,6,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Martin Ødegaard,7,Arsenal,MID,65,90,0,1,0,2,0,0,0,0,0,0,3,35,35.6,90.6,8.0,13.4,1,0.34,0.60,0.94,0.51,8,False
Kieran Tierney,8,Arsenal,DEF,50,1,0,0,0,0,0,0,0,0,0,0,0,5,2.0,0.0,0.0,0.2,0,0.00,0.00,0.00,0.00,1,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,78,0,0,0,2,0,0,0,0,0,0,0,10,10.4,17.0,2.0,2.9,1,0.00,0.28,0.28,0.40,1,False
Eddie Nketiah,11,Arsenal,FWD,70,90,0,0,0,2,0,0,0,0,0,0,0,5,0.2,11.3,51.0,6.3,1,1.15,0.22,1.37,0.51,2,False
Emile Smith Rowe,12,Arsenal,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bukayo Saka,13,Arsenal,MID,80,90,1,0,0,2,0,0,0,1,0,0,0,15,47.6,8.5,63.0,11.9,1,0.32,0.32,0.64,0.51,6,False
Takehiro Tomiyasu,14,Arsenal,DEF,45,11,0,0,0,0,0,0,0,0,0,0,0,3,1.0,1.3,2.0,0.4,0,0.00,0.00,0.00,0.11,1,False
Aaron Ramsdale,15,Arsenal,GK,50,90,0,0,0,2,0,0,0,0,0,3,0,14,22.6,0.0,0.0,2.3,1,0.00,0.00,0.00,0.51,2,False
Gabriel dos Santos Magalhães,16,Arsenal,DEF,50,90,0,0,0,2,0,0,0,0,0,0,0,9,7.6,2.3,10.0,2.0,1,0.30,0.02,0.32,0.51,1,False
Nuno Varela Tavares,17,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Albert Sambi Lokonga,18,Crystal Palace,MID,45,62,0,0,1,0,0,0,0,0,0,0,0,16,7.6,5.8,0.0,1.3,1,0.00,0.03,0.03,0.35,3,False
Gabriel Martinelli Silva,19,Arsenal,MID,60,22,1,0,0,0,0,0,0,0,0,0,0,21,36.0,14.3,23.0,7.3,0,0.98,0.02,1.00,0.18,6,False
Pablo Marí Villar,20,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
