,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Granit Xhaka,3,Arsenal,MID,50,90,0,0,1,0,0,0,0,1,0,0,0,12,16.6,15.0,2.0,3.4,1,0.00,0.06,0.06,1.21,2,False
Mohamed Elneny,4,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rob Holding,5,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Thomas Partey,6,Arsenal,MID,50,90,0,0,1,0,0,0,0,0,0,0,0,17,22.6,12.9,10.0,4.6,1,0.10,0.02,0.12,1.21,3,False
Martin Ødegaard,7,Arsenal,MID,65,90,0,0,1,0,0,0,0,0,0,0,0,9,3.4,8.3,23.0,3.5,1,0.09,0.06,0.15,1.21,3,False
Kieran Tierney,8,Arsenal,DEF,50,7,0,0,0,0,0,0,0,0,0,0,0,3,6.0,0.2,0.0,0.6,0,0.00,0.00,0.00,0.00,1,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,90,0,0,1,0,0,0,0,1,0,0,0,25,31.4,12.0,0.0,4.3,1,0.00,0.03,0.03,1.21,5,False
Eddie Nketiah,11,Arsenal,FWD,70,7,0,0,0,0,0,0,0,0,0,0,0,4,2.2,10.3,0.0,1.3,0,0.00,0.04,0.04,0.00,1,False
